run_id,episode,total_reward,avg_reward,epsilon,alpha,gamma,qtable_coverage
1,107,-540,-5.05,0.58488,0.1,0.9,98.0
1,108,-590,-5.46,0.58196,0.1,0.9,98.0
1,109,-1775,-16.28,0.57905,0.1,0.9,98.0
1,110,-1740,-15.82,0.57615,0.1,0.9,98.0
1,111,-710,-6.4,0.57327,0.1,0.9,98.0
1,112,-585,-5.22,0.57041,0.1,0.9,98.0
1,113,-240,-2.12,0.56756,0.1,0.9,98.0
1,114,-320,-2.81,0.56472,0.1,0.9,98.0
1,115,-1425,-12.39,0.56189,0.1,0.9,98.0
1,116,-960,-8.28,0.55908,0.1,0.9,98.0
1,117,-850,-7.26,0.55629,0.1,0.9,98.0
1,118,-870,-7.37,0.55351,0.1,0.9,98.0
1,119,-905,-7.61,0.55074,0.1,0.9,98.0
1,120,-540,-4.5,0.54799,0.1,0.9,98.0
1,121,-480,-3.97,0.54525,0.1,0.9,98.0
1,122,-1140,-9.34,0.54252,0.1,0.9,98.0
1,123,-790,-6.42,0.53981,0.1,0.9,98.0
1,124,-5340,-43.06,0.53711,0.1,0.9,98.0
1,125,-2950,-23.6,0.53442,0.1,0.9,98.0
1,126,-690,-5.48,0.53175,0.1,0.9,98.0
1,127,-370,-2.91,0.52909,0.1,0.9,98.0
1,128,-325,-2.54,0.52645,0.1,0.9,98.0
1,129,-310,-2.4,0.52381,0.1,0.9,98.0
1,130,-1315,-10.12,0.5212,0.1,0.9,98.0
1,131,-1010,-7.71,0.51859,0.1,0.9,98.0
1,132,-1010,-7.65,0.516,0.1,0.9,98.0
1,133,-600,-4.51,0.51342,0.1,0.9,98.0
1,134,-5480,-40.9,0.51085,0.1,0.9,98.0
1,135,-715,-5.3,0.5083,0.1,0.9,98.0
1,136,-395,-2.9,0.50575,0.1,0.9,98.0
1,137,-470,-3.43,0.50322,0.1,0.9,98.0
1,138,-450,-3.26,0.50071,0.1,0.9,98.0
1,139,-240,-1.73,0.49821,0.1,0.9,98.0
1,140,-2405,-17.18,0.49571,0.1,0.9,98.0
1,141,-520,-3.69,0.49324,0.1,0.9,98.0
1,142,-565,-3.98,0.49077,0.1,0.9,98.0
1,143,-710,-4.97,0.48832,0.1,0.9,98.0
1,144,-705,-4.9,0.48587,0.1,0.9,98.0
1,145,-620,-4.28,0.48344,0.1,0.9,98.0
1,146,-6035,-41.34,0.48103,0.1,0.9,98.0
1,147,-535,-3.64,0.47862,0.1,0.9,98.0
1,148,-575,-3.89,0.47623,0.1,0.9,98.0
1,149,-295,-1.98,0.47385,0.1,0.9,98.0
1,150,-1065,-7.1,0.47148,0.1,0.9,98.0
1,151,-2240,-14.83,0.46912,0.1,0.9,98.0
1,152,-370,-2.43,0.46678,0.1,0.9,98.0
1,153,-1055,-6.9,0.46444,0.1,0.9,98.0
1,154,-970,-6.3,0.46212,0.1,0.9,98.0
1,155,-570,-3.68,0.45981,0.1,0.9,98.0
1,156,-250,-1.6,0.45751,0.1,0.9,98.0
1,157,-1835,-11.69,0.45522,0.1,0.9,98.0
1,158,-1255,-7.94,0.45295,0.1,0.9,98.0
1,159,-205,-1.29,0.45068,0.1,0.9,98.0
1,160,-1140,-7.12,0.44843,0.1,0.9,98.0
1,161,-280,-1.74,0.44619,0.1,0.9,98.0
1,162,-625,-3.86,0.44396,0.1,0.9,98.0
1,163,-445,-2.73,0.44174,0.1,0.9,98.0
1,164,-450,-2.74,0.43953,0.1,0.9,98.0
1,165,-500,-3.03,0.43733,0.1,0.9,98.0
1,166,-1180,-7.11,0.43514,0.1,0.9,98.0
1,167,-750,-4.49,0.43297,0.1,0.9,98.0
1,168,-380,-2.26,0.4308,0.1,0.9,98.0
1,169,-250,-1.48,0.42865,0.1,0.9,98.0
1,170,-675,-3.97,0.4265,0.1,0.9,98.0
1,171,-1510,-8.83,0.42437,0.1,0.9,98.0
